Person 1: (41, 11), status: INFECTED, was infected 0 time(s).
Person 2192: (27, 24), status: INFECTED, was infected 0 time(s).
Person 2193: (19, 17), status: SUSCEPTIBLE, was infected 0 time(s).
Person 2194: (0, 35), status: INFECTED, was infected 1 time(s).
Person 2195: (20, 14), status: INFECTED, was infected 0 time(s).
Person 2196: (50, 48), status: INFECTED, was infected 0 time(s).
Person 2197: (27, 31), status: INFECTED, was infected 1 time(s).
Person 2198: (23, 27), status: INFECTED, was infected 1 time(s).
Person 2199: (12, 26), status: SUSCEPTIBLE, was infected 0 time(s).
Person 2200: (6, 13), status: INFECTED, was infected 1 time(s).
Person 2201: (0, 0), status: INFECTED, was infected 1 time(s).
Person 2202: (49, 0), status: INFECTED, was infected 1 time(s).
Person 2203: (14, 46), status: INFECTED, was infected 0 time(s).
Person 2204: (38, 18), status: INFECTED, was infected 0 time(s).
Person 2205: (24, 17), status: INFECTED, was infected 0 time(s).
Person 2206: (0, 45), status: INFECTED, was infected 1 time(s).
Person 2207: (46, 16), status: INFECTED, was infected 1 time(s).
Person 2208: (16, 33), status: INFECTED, was infected 1 time(s).
Person 2209: (23, 16), status: INFECTED, was infected 1 time(s).
Person 2210: (18, 39), status: INFECTED, was infected 1 time(s).
Person 2211: (29, 0), status: INFECTED, was infected 1 time(s).
Person 2212: (14, 18), status: INFECTED, was infected 0 time(s).
Person 2213: (40, 35), status: INFECTED, was infected 0 time(s).
Person 2214: (46, 48), status: INFECTED, was infected 1 time(s).
Person 2215: (8, 49), status: INFECTED, was infected 1 time(s).
Person 2216: (24, 25), status: SUSCEPTIBLE, was infected 0 time(s).
Person 2217: (27, 29), status: INFECTED, was infected 0 time(s).
Person 2218: (31, 26), status: INFECTED, was infected 1 time(s).
Person 2219: (0, 0), status: INFECTED, was infected 1 time(s).
Person 2220: (12, 0), status: INFECTED, was infected 0 time(s).
Person 2221: (24, 5), status: SUSCEPTIBLE, was infected 0 time(s).
Person 2222: (49, 28), status: INFECTED, was infected 0 time(s).
Person 2223: (20, 0), status: INFECTED, was infected 1 time(s).
Person 2224: (34, 28), status: SUSCEPTIBLE, was infected 0 time(s).
Person 2225: (39, 10), status: INFECTED, was infected 0 time(s).
Person 2226: (48, 49), status: INFECTED, was infected 1 time(s).
Person 2227: (3, 0), status: INFECTED, was infected 1 time(s).
Person 2228: (33, 42), status: INFECTED, was infected 1 time(s).
Person 2229: (33, 38), status: INFECTED, was infected 0 time(s).
Person 2230: (19, 47), status: INFECTED, was infected 1 time(s).
Person 2231: (0, 45), status: INFECTED, was infected 1 time(s).
Person 2232: (8, 5), status: INFECTED, was infected 0 time(s).
Person 2233: (49, 27), status: INFECTED, was infected 1 time(s).
Person 2234: (30, 7), status: INFECTED, was infected 0 time(s).
Person 2235: (30, 21), status: SUSCEPTIBLE, was infected 0 time(s).
Person 2236: (5, 32), status: INFECTED, was infected 0 time(s).
Person 2237: (31, 6), status: INFECTED, was infected 1 time(s).
Person 2238: (5, 49), status: INFECTED, was infected 1 time(s).
Person 2239: (42, 1), status: INFECTED, was infected 1 time(s).
Person 2240: (7, 37), status: INFECTED, was infected 1 time(s).
Person 2241: (0, 13), status: INFECTED, was infected 1 time(s).
Person 2242: (22, 10), status: INFECTED, was infected 0 time(s).
Person 2243: (6, 46), status: INFECTED, was infected 1 time(s).
Person 2244: (43, 42), status: INFECTED, was infected 1 time(s).
Person 2245: (0, 19), status: INFECTED, was infected 1 time(s).
Person 2246: (0, 0), status: INFECTED, was infected 1 time(s).
Person 2247: (0, 44), status: INFECTED, was infected 0 time(s).
Person 2248: (19, 11), status: INFECTED, was infected 0 time(s).
Person 2249: (21, 1), status: SUSCEPTIBLE, was infected 0 time(s).
Person 2250: (29, 10), status: SUSCEPTIBLE, was infected 0 time(s).
Person 2251: (13, 27), status: INFECTED, was infected 0 time(s).
Person 2252: (20, 13), status: INFECTED, was infected 1 time(s).
Person 2253: (49, 24), status: INFECTED, was infected 0 time(s).
Person 2254: (47, 2), status: INFECTED, was infected 0 time(s).
Person 2255: (2, 49), status: INFECTED, was infected 0 time(s).
Person 2256: (9, 43), status: INFECTED, was infected 0 time(s).
Person 2257: (35, 29), status: INFECTED, was infected 0 time(s).
Person 2258: (41, 33), status: SUSCEPTIBLE, was infected 0 time(s).
Person 2259: (17, 18), status: INFECTED, was infected 0 time(s).
Person 2260: (49, 26), status: INFECTED, was infected 0 time(s).
Person 2261: (6, 33), status: INFECTED, was infected 1 time(s).
Person 2262: (0, 5), status: INFECTED, was infected 1 time(s).
Person 2263: (25, 49), status: INFECTED, was infected 1 time(s).
Person 2264: (47, 12), status: INFECTED, was infected 1 time(s).
Person 2265: (49, 34), status: INFECTED, was infected 1 time(s).
Person 2266: (31, 27), status: INFECTED, was infected 0 time(s).
Person 2267: (40, 19), status: INFECTED, was infected 1 time(s).
Person 2268: (20, 18), status: INFECTED, was infected 1 time(s).
Person 2269: (16, 48), status: SUSCEPTIBLE, was infected 0 time(s).
Person 2270: (0, 35), status: INFECTED, was infected 1 time(s).
Person 2271: (43, 33), status: INFECTED, was infected 0 time(s).
Person 2272: (1, 49), status: INFECTED, was infected 1 time(s).
Person 2273: (49, 2), status: INFECTED, was infected 1 time(s).
Person 2274: (17, 1), status: SUSCEPTIBLE, was infected 0 time(s).
Person 2275: (24, 2), status: SUSCEPTIBLE, was infected 0 time(s).
Person 2276: (0, 40), status: INFECTED, was infected 0 time(s).
Person 2277: (14, 9), status: SUSCEPTIBLE, was infected 0 time(s).
Person 2278: (15, 4), status: SUSCEPTIBLE, was infected 0 time(s).
Person 2279: (37, 19), status: SUSCEPTIBLE, was infected 0 time(s).
Person 2280: (49, 46), status: INFECTED, was infected 0 time(s).
Person 2281: (4, 49), status: INFECTED, was infected 0 time(s).
Person 2282: (48, 41), status: INFECTED, was infected 1 time(s).
Person 2283: (34, 8), status: INFECTED, was infected 0 time(s).
Person 2284: (0, 17), status: INFECTED, was infected 1 time(s).
Person 2285: (0, 36), status: INFECTED, was infected 1 time(s).
Person 2286: (49, 10), status: INFECTED, was infected 1 time(s).
Person 2287: (18, 46), status: INFECTED, was infected 0 time(s).
Person 2288: (0, 24), status: INFECTED, was infected 1 time(s).
Person 2289: (27, 46), status: INFECTED, was infected 1 time(s).
Person 2290: (14, 31), status: INFECTED, was infected 1 time(s).
Person 2291: (39, 0), status: INFECTED, was infected 1 time(s).
Person 2292: (28, 26), status: INFECTED, was infected 1 time(s).
Person 2293: (18, 13), status: INFECTED, was infected 0 time(s).
Person 2294: (42, 31), status: INFECTED, was infected 1 time(s).
Person 2295: (22, 25), status: INFECTED, was infected 1 time(s).
Person 2296: (0, 29), status: INFECTED, was infected 0 time(s).
Person 2297: (49, 43), status: INFECTED, was infected 1 time(s).
Person 2298: (13, 8), status: INFECTED, was infected 1 time(s).
Person 2299: (21, 10), status: INFECTED, was infected 0 time(s).
Person 2300: (4, 49), status: INFECTED, was infected 1 time(s).
Person 2301: (45, 11), status: INFECTED, was infected 1 time(s).
Person 2302: (22, 34), status: INFECTED, was infected 1 time(s).
Person 2303: (10, 49), status: INFECTED, was infected 1 time(s).
Person 2304: (7, 12), status: SUSCEPTIBLE, was infected 0 time(s).
Person 2305: (0, 19), status: INFECTED, was infected 1 time(s).
Person 2306: (49, 43), status: INFECTED, was infected 0 time(s).
Person 2307: (4, 38), status: SUSCEPTIBLE, was infected 0 time(s).
Person 2308: (40, 25), status: INFECTED, was infected 0 time(s).
Person 2309: (36, 40), status: INFECTED, was infected 0 time(s).
Person 2310: (6, 31), status: INFECTED, was infected 0 time(s).
Person 2311: (27, 41), status: INFECTED, was infected 0 time(s).
Person 2312: (9, 20), status: INFECTED, was infected 0 time(s).
Person 2313: (12, 3), status: SUSCEPTIBLE, was infected 0 time(s).
Person 2314: (2, 30), status: INFECTED, was infected 1 time(s).
Person 2315: (24, 49), status: INFECTED, was infected 1 time(s).
Person 2316: (20, 0), status: INFECTED, was infected 1 time(s).
Person 2317: (13, 15), status: INFECTED, was infected 1 time(s).
Person 2318: (45, 22), status: INFECTED, was infected 0 time(s).
Person 2319: (31, 0), status: INFECTED, was infected 0 time(s).
Person 2320: (15, 15), status: INFECTED, was infected 1 time(s).
Person 2321: (23, 17), status: INFECTED, was infected 0 time(s).
Person 2322: (6, 25), status: SUSCEPTIBLE, was infected 0 time(s).
Person 2323: (19, 8), status: SUSCEPTIBLE, was infected 0 time(s).
Person 2324: (44, 6), status: SUSCEPTIBLE, was infected 0 time(s).
Person 2325: (21, 10), status: INFECTED, was infected 0 time(s).
Person 2326: (33, 7), status: INFECTED, was infected 0 time(s).
Person 2327: (15, 4), status: SUSCEPTIBLE, was infected 0 time(s).
Person 2328: (24, 40), status: INFECTED, was infected 0 time(s).
Person 2329: (17, 12), status: SUSCEPTIBLE, was infected 0 time(s).
Person 2330: (0, 1), status: INFECTED, was infected 1 time(s).
Person 2331: (26, 49), status: INFECTED, was infected 1 time(s).
Person 2332: (29, 37), status: INFECTED, was infected 0 time(s).
Person 2333: (38, 22), status: SUSCEPTIBLE, was infected 0 time(s).
Person 2334: (17, 17), status: INFECTED, was infected 0 time(s).
Person 2335: (34, 37), status: INFECTED, was infected 0 time(s).
Person 2336: (33, 0), status: INFECTED, was infected 1 time(s).
Person 2337: (45, 23), status: SUSCEPTIBLE, was infected 0 time(s).
Person 2338: (49, 39), status: INFECTED, was infected 1 time(s).
Person 2339: (42, 22), status: INFECTED, was infected 1 time(s).
Person 2340: (10, 22), status: INFECTED, was infected 1 time(s).
Person 2341: (44, 42), status: SUSCEPTIBLE, was infected 0 time(s).
Person 2342: (38, 0), status: INFECTED, was infected 1 time(s).
Person 2343: (20, 28), status: INFECTED, was infected 1 time(s).
Person 2344: (49, 20), status: INFECTED, was infected 0 time(s).
Person 2345: (13, 23), status: SUSCEPTIBLE, was infected 0 time(s).
Person 2346: (11, 0), status: INFECTED, was infected 0 time(s).
Person 2347: (34, 19), status: INFECTED, was infected 0 time(s).
Person 2348: (41, 0), status: INFECTED, was infected 1 time(s).
Person 2349: (8, 24), status: INFECTED, was infected 1 time(s).
Person 2350: (32, 35), status: INFECTED, was infected 0 time(s).
Person 2351: (47, 7), status: INFECTED, was infected 0 time(s).
Person 2352: (41, 9), status: INFECTED, was infected 1 time(s).
Person 2353: (30, 47), status: INFECTED, was infected 0 time(s).
Person 2354: (27, 46), status: INFECTED, was infected 1 time(s).
Person 2355: (46, 35), status: INFECTED, was infected 1 time(s).
Person 2356: (7, 12), status: SUSCEPTIBLE, was infected 0 time(s).
Person 2357: (39, 36), status: SUSCEPTIBLE, was infected 0 time(s).
Person 2358: (31, 2), status: SUSCEPTIBLE, was infected 0 time(s).
Person 2359: (21, 28), status: INFECTED, was infected 1 time(s).
Person 2360: (37, 0), status: INFECTED, was infected 1 time(s).
Person 2361: (19, 48), status: SUSCEPTIBLE, was infected 0 time(s).
Person 2362: (11, 16), status: INFECTED, was infected 0 time(s).
Person 2363: (49, 10), status: INFECTED, was infected 1 time(s).
Person 2364: (10, 19), status: SUSCEPTIBLE, was infected 0 time(s).
Person 2365: (25, 11), status: INFECTED, was infected 1 time(s).
Person 2366: (6, 0), status: INFECTED, was infected 1 time(s).
Person 2367: (8, 34), status: INFECTED, was infected 1 time(s).
Person 2368: (38, 1), status: INFECTED, was infected 1 time(s).
Person 2369: (10, 25), status: INFECTED, was infected 0 time(s).
Person 2370: (27, 5), status: INFECTED, was infected 1 time(s).
Person 2371: (16, 10), status: INFECTED, was infected 1 time(s).
Person 2372: (20, 37), status: INFECTED, was infected 1 time(s).
Person 2373: (0, 0), status: INFECTED, was infected 0 time(s).
Person 2374: (0, 42), status: INFECTED, was infected 0 time(s).
Person 2375: (32, 11), status: INFECTED, was infected 1 time(s).
Person 2376: (38, 20), status: INFECTED, was infected 1 time(s).
Person 2377: (3, 41), status: SUSCEPTIBLE, was infected 0 time(s).
Person 2378: (45, 24), status: INFECTED, was infected 1 time(s).
Person 2379: (45, 34), status: INFECTED, was infected 1 time(s).
Person 2380: (27, 42), status: INFECTED, was infected 1 time(s).
Person 2381: (18, 16), status: SUSCEPTIBLE, was infected 0 time(s).
Person 2382: (14, 19), status: INFECTED, was infected 0 time(s).
Person 2383: (30, 49), status: INFECTED, was infected 1 time(s).
Person 2384: (49, 35), status: INFECTED, was infected 1 time(s).
Person 2385: (27, 26), status: SUSCEPTIBLE, was infected 0 time(s).
Person 2386: (4, 49), status: INFECTED, was infected 1 time(s).
Person 2387: (32, 0), status: INFECTED, was infected 1 time(s).
Person 2388: (27, 13), status: INFECTED, was infected 1 time(s).
Person 2389: (10, 9), status: SUSCEPTIBLE, was infected 0 time(s).
Person 2390: (2, 25), status: INFECTED, was infected 1 time(s).
Person 2391: (36, 33), status: INFECTED, was infected 1 time(s).
Person 2392: (17, 49), status: INFECTED, was infected 1 time(s).
Person 2393: (7, 14), status: SUSCEPTIBLE, was infected 0 time(s).
Person 2394: (27, 18), status: INFECTED, was infected 0 time(s).
Person 2395: (2, 15), status: INFECTED, was infected 0 time(s).
Person 2396: (20, 49), status: INFECTED, was infected 0 time(s).
Person 2397: (0, 25), status: INFECTED, was infected 1 time(s).
Person 2398: (24, 49), status: INFECTED, was infected 0 time(s).
Person 2399: (20, 22), status: INFECTED, was infected 1 time(s).
Person 2400: (0, 0), status: INFECTED, was infected 0 time(s).
Person 2401: (14, 38), status: INFECTED, was infected 1 time(s).
Person 2402: (46, 14), status: INFECTED, was infected 1 time(s).
Person 2403: (25, 33), status: INFECTED, was infected 0 time(s).
Person 2404: (27, 40), status: INFECTED, was infected 0 time(s).
Person 2405: (21, 0), status: INFECTED, was infected 0 time(s).
Person 2406: (49, 24), status: INFECTED, was infected 1 time(s).
Person 2407: (49, 6), status: INFECTED, was infected 0 time(s).
Person 2408: (25, 8), status: SUSCEPTIBLE, was infected 0 time(s).
Person 2409: (15, 41), status: SUSCEPTIBLE, was infected 0 time(s).
Person 2410: (0, 44), status: INFECTED, was infected 1 time(s).
Person 2411: (49, 18), status: INFECTED, was infected 0 time(s).
Person 2412: (29, 18), status: INFECTED, was infected 1 time(s).
Person 2413: (21, 40), status: INFECTED, was infected 1 time(s).
Person 2414: (15, 25), status: SUSCEPTIBLE, was infected 0 time(s).
Person 2415: (7, 35), status: INFECTED, was infected 0 time(s).
Person 2416: (27, 49), status: INFECTED, was infected 1 time(s).
Person 2417: (49, 18), status: INFECTED, was infected 1 time(s).
Person 2418: (13, 49), status: INFECTED, was infected 1 time(s).
Person 2419: (31, 20), status: INFECTED, was infected 1 time(s).
Person 2420: (39, 42), status: INFECTED, was infected 1 time(s).
Person 2421: (27, 12), status: INFECTED, was infected 1 time(s).
Person 2422: (21, 48), status: SUSCEPTIBLE, was infected 0 time(s).
Person 2423: (14, 16), status: INFECTED, was infected 0 time(s).
Person 2424: (19, 40), status: SUSCEPTIBLE, was infected 0 time(s).
Person 2425: (12, 18), status: INFECTED, was infected 1 time(s).
Person 2426: (13, 27), status: INFECTED, was infected 0 time(s).
Person 2427: (16, 2), status: SUSCEPTIBLE, was infected 0 time(s).
Person 2428: (10, 42), status: SUSCEPTIBLE, was infected 0 time(s).
Person 2429: (11, 29), status: SUSCEPTIBLE, was infected 0 time(s).
Person 2430: (28, 37), status: INFECTED, was infected 0 time(s).
Person 2431: (15, 22), status: INFECTED, was infected 0 time(s).
Person 2432: (19, 27), status: INFECTED, was infected 0 time(s).
Person 2433: (50, 40), status: INFECTED, was infected 0 time(s).
Person 2434: (28, 22), status: INFECTED, was infected 1 time(s).
Person 2435: (31, 0), status: INFECTED, was infected 1 time(s).
Person 2436: (18, 27), status: SUSCEPTIBLE, was infected 0 time(s).
Person 2437: (40, 30), status: SUSCEPTIBLE, was infected 0 time(s).
Person 2438: (20, 47), status: SUSCEPTIBLE, was infected 0 time(s).
Person 2439: (49, 39), status: INFECTED, was infected 1 time(s).
Person 2440: (3, 20), status: SUSCEPTIBLE, was infected 0 time(s).
Person 2441: (16, 44), status: INFECTED, was infected 1 time(s).
Person 2442: (0, 36), status: INFECTED, was infected 1 time(s).
Person 2443: (12, 10), status: INFECTED, was infected 1 time(s).
Person 2444: (11, 49), status: INFECTED, was infected 1 time(s).
Person 2445: (45, 12), status: SUSCEPTIBLE, was infected 0 time(s).
Person 2446: (0, 12), status: INFECTED, was infected 1 time(s).
Person 2447: (3, 42), status: SUSCEPTIBLE, was infected 0 time(s).
Person 2448: (8, 12), status: INFECTED, was infected 1 time(s).
Person 2449: (17, 37), status: INFECTED, was infected 1 time(s).
Person 2450: (22, 14), status: SUSCEPTIBLE, was infected 0 time(s).
Person 2451: (0, 18), status: INFECTED, was infected 1 time(s).
Person 2452: (0, 35), status: INFECTED, was infected 0 time(s).
Person 2453: (47, 19), status: SUSCEPTIBLE, was infected 0 time(s).
Person 2454: (15, 3), status: INFECTED, was infected 1 time(s).
Person 2455: (49, 16), status: INFECTED, was infected 0 time(s).
Person 2456: (2, 44), status: SUSCEPTIBLE, was infected 0 time(s).
Person 2457: (10, 22), status: INFECTED, was infected 0 time(s).
Person 2458: (24, 4), status: INFECTED, was infected 0 time(s).
Person 2459: (49, 8), status: INFECTED, was infected 1 time(s).
Person 2460: (38, 24), status: INFECTED, was infected 0 time(s).
Person 2461: (49, 9), status: INFECTED, was infected 1 time(s).
Person 2462: (17, 38), status: INFECTED, was infected 1 time(s).
Person 2463: (9, 31), status: SUSCEPTIBLE, was infected 0 time(s).
Person 2464: (49, 37), status: INFECTED, was infected 1 time(s).
Person 2465: (9, 17), status: SUSCEPTIBLE, was infected 0 time(s).
Person 2466: (7, 38), status: SUSCEPTIBLE, was infected 0 time(s).
Person 2467: (2, 36), status: INFECTED, was infected 0 time(s).
Person 2468: (5, 14), status: INFECTED, was infected 0 time(s).
Person 2469: (49, 26), status: INFECTED, was infected 1 time(s).
Person 2470: (19, 20), status: INFECTED, was infected 1 time(s).
Person 2471: (17, 0), status: INFECTED, was infected 1 time(s).
Person 2472: (7, 35), status: INFECTED, was infected 0 time(s).
Person 2473: (21, 30), status: INFECTED, was infected 1 time(s).
Person 2474: (19, 14), status: SUSCEPTIBLE, was infected 0 time(s).
Person 2475: (31, 3), status: INFECTED, was infected 1 time(s).
Person 2476: (22, 49), status: INFECTED, was infected 1 time(s).
Person 2477: (29, 47), status: INFECTED, was infected 1 time(s).
Person 2478: (47, 7), status: INFECTED, was infected 1 time(s).
Person 2479: (49, 37), status: INFECTED, was infected 0 time(s).
Person 2480: (44, 18), status: SUSCEPTIBLE, was infected 0 time(s).
Person 2481: (0, 35), status: INFECTED, was infected 1 time(s).
Person 2482: (0, 32), status: INFECTED, was infected 1 time(s).
Person 2483: (29, 0), status: INFECTED, was infected 1 time(s).
Person 2484: (7, 7), status: INFECTED, was infected 1 time(s).
Person 2485: (3, 35), status: INFECTED, was infected 0 time(s).
Person 2486: (38, 27), status: SUSCEPTIBLE, was infected 0 time(s).
Person 2487: (20, 0), status: INFECTED, was infected 0 time(s).
Person 2488: (46, 48), status: INFECTED, was infected 0 time(s).
Person 2489: (32, 33), status: INFECTED, was infected 1 time(s).
Person 2490: (10, 26), status: INFECTED, was infected 1 time(s).
Person 2491: (19, 15), status: INFECTED, was infected 0 time(s).
Person 2492: (22, 40), status: SUSCEPTIBLE, was infected 0 time(s).
Person 2493: (0, 14), status: INFECTED, was infected 1 time(s).
Person 2494: (33, 25), status: INFECTED, was infected 1 time(s).
Person 2495: (1, 32), status: SUSCEPTIBLE, was infected 0 time(s).
Person 2496: (13, 5), status: INFECTED, was infected 1 time(s).
Person 2497: (44, 30), status: SUSCEPTIBLE, was infected 0 time(s).
Person 2498: (5, 41), status: INFECTED, was infected 1 time(s).
Person 2499: (12, 38), status: INFECTED, was infected 1 time(s).
Person 2500: (46, 18), status: INFECTED, was infected 0 time(s).
Person 2501: (32, 11), status: INFECTED, was infected 1 time(s).
Person 2502: (47, 29), status: SUSCEPTIBLE, was infected 0 time(s).
Person 2503: (42, 38), status: INFECTED, was infected 1 time(s).
Person 2504: (43, 24), status: INFECTED, was infected 1 time(s).
Person 2505: (47, 16), status: INFECTED, was infected 1 time(s).
Person 2506: (34, 11), status: INFECTED, was infected 1 time(s).
Person 2507: (35, 32), status: INFECTED, was infected 0 time(s).
Person 2508: (0, 48), status: INFECTED, was infected 1 time(s).
Person 2509: (32, 40), status: INFECTED, was infected 0 time(s).
Person 2510: (20, 49), status: INFECTED, was infected 1 time(s).
Person 2511: (29, 22), status: SUSCEPTIBLE, was infected 0 time(s).
Person 2512: (19, 20), status: INFECTED, was infected 1 time(s).
Person 2513: (19, 28), status: INFECTED, was infected 0 time(s).
Person 2514: (39, 4), status: SUSCEPTIBLE, was infected 0 time(s).
Person 2515: (49, 47), status: INFECTED, was infected 1 time(s).
Person 2516: (47, 4), status: INFECTED, was infected 1 time(s).
Person 2517: (44, 29), status: INFECTED, was infected 0 time(s).
Person 2518: (30, 48), status: INFECTED, was infected 1 time(s).
Person 2519: (18, 24), status: INFECTED, was infected 0 time(s).
Person 2520: (20, 0), status: INFECTED, was infected 0 time(s).
Person 2521: (33, 46), status: SUSCEPTIBLE, was infected 0 time(s).
Person 2522: (11, 21), status: INFECTED, was infected 0 time(s).
Person 2523: (10, 31), status: INFECTED, was infected 0 time(s).
Person 2524: (28, 28), status: SUSCEPTIBLE, was infected 0 time(s).
Person 2525: (49, 15), status: INFECTED, was infected 1 time(s).
Person 2526: (20, 17), status: INFECTED, was infected 1 time(s).
Person 2527: (14, 46), status: INFECTED, was infected 1 time(s).
Person 2528: (5, 42), status: INFECTED, was infected 1 time(s).
Person 2529: (39, 0), status: INFECTED, was infected 0 time(s).
Person 2530: (21, 49), status: INFECTED, was infected 1 time(s).
Person 2531: (0, 30), status: INFECTED, was infected 0 time(s).
Person 2532: (0, 13), status: INFECTED, was infected 1 time(s).
Person 2533: (49, 1), status: INFECTED, was infected 1 time(s).
Person 2534: (11, 36), status: INFECTED, was infected 1 time(s).
Person 2535: (38, 31), status: INFECTED, was infected 0 time(s).
Person 2536: (39, 14), status: INFECTED, was infected 0 time(s).
Person 2537: (0, 8), status: INFECTED, was infected 0 time(s).
Person 2538: (38, 12), status: SUSCEPTIBLE, was infected 0 time(s).
Person 2539: (31, 14), status: INFECTED, was infected 1 time(s).
Person 2540: (28, 41), status: INFECTED, was infected 1 time(s).
Person 2541: (49, 8), status: INFECTED, was infected 1 time(s).
Person 2542: (44, 17), status: SUSCEPTIBLE, was infected 0 time(s).
Person 2543: (32, 43), status: INFECTED, was infected 0 time(s).
Person 2544: (49, 22), status: INFECTED, was infected 1 time(s).
Person 2545: (11, 45), status: INFECTED, was infected 0 time(s).
Person 2546: (8, 49), status: INFECTED, was infected 1 time(s).
Person 2547: (12, 0), status: INFECTED, was infected 1 time(s).
Person 2548: (1, 49), status: INFECTED, was infected 1 time(s).
Person 2549: (8, 34), status: INFECTED, was infected 0 time(s).
Person 2550: (17, 19), status: INFECTED, was infected 1 time(s).
Person 2551: (27, 30), status: INFECTED, was infected 1 time(s).
Person 2552: (0, 7), status: INFECTED, was infected 1 time(s).
Person 2553: (12, 24), status: INFECTED, was infected 1 time(s).
Person 2554: (22, 41), status: INFECTED, was infected 1 time(s).
Person 2555: (0, 28), status: INFECTED, was infected 1 time(s).
Person 2556: (23, 11), status: INFECTED, was infected 0 time(s).
Person 2557: (31, 4), status: SUSCEPTIBLE, was infected 0 time(s).
Person 2558: (6, 40), status: SUSCEPTIBLE, was infected 0 time(s).
Person 2559: (21, 26), status: INFECTED, was infected 1 time(s).
Person 2560: (43, 36), status: INFECTED, was infected 1 time(s).
Person 2561: (20, 49), status: INFECTED, was infected 0 time(s).
Person 2562: (43, 0), status: INFECTED, was infected 0 time(s).
Person 2563: (31, 11), status: INFECTED, was infected 0 time(s).
Person 2564: (10, 21), status: SUSCEPTIBLE, was infected 0 time(s).
Person 2565: (50, 35), status: SUSCEPTIBLE, was infected 0 time(s).
Person 2566: (26, 0), status: INFECTED, was infected 1 time(s).
Person 2567: (14, 26), status: INFECTED, was infected 0 time(s).
Person 2568: (24, 19), status: INFECTED, was infected 1 time(s).
Person 2569: (12, 46), status: INFECTED, was infected 1 time(s).
Person 2570: (5, 30), status: INFECTED, was infected 1 time(s).
Person 2571: (25, 47), status: INFECTED, was infected 1 time(s).
Person 2572: (14, 39), status: SUSCEPTIBLE, was infected 0 time(s).
Person 2573: (34, 9), status: INFECTED, was infected 0 time(s).
Person 2574: (36, 49), status: INFECTED, was infected 1 time(s).
Person 2575: (34, 10), status: INFECTED, was infected 1 time(s).
Person 2576: (22, 49), status: INFECTED, was infected 1 time(s).
Person 2577: (33, 35), status: SUSCEPTIBLE, was infected 0 time(s).
Person 2578: (29, 0), status: INFECTED, was infected 1 time(s).
Person 2579: (17, 31), status: SUSCEPTIBLE, was infected 0 time(s).
Person 2580: (24, 17), status: INFECTED, was infected 0 time(s).
Person 2581: (29, 1), status: INFECTED, was infected 0 time(s).
Person 2582: (37, 21), status: SUSCEPTIBLE, was infected 0 time(s).
Person 2583: (10, 31), status: INFECTED, was infected 0 time(s).
Person 2584: (0, 48), status: INFECTED, was infected 1 time(s).
Person 2585: (45, 28), status: INFECTED, was infected 1 time(s).
Person 2586: (21, 35), status: INFECTED, was infected 1 time(s).
Person 2587: (17, 18), status: INFECTED, was infected 0 time(s).
Person 2588: (0, 30), status: INFECTED, was infected 0 time(s).
Person 2589: (31, 26), status: INFECTED, was infected 1 time(s).
Person 2590: (39, 25), status: INFECTED, was infected 1 time(s).
Person 2591: (14, 35), status: INFECTED, was infected 0 time(s).
Person 2592: (45, 31), status: SUSCEPTIBLE, was infected 0 time(s).
Person 2593: (22, 41), status: INFECTED, was infected 1 time(s).
Person 2594: (49, 0), status: INFECTED, was infected 1 time(s).
Person 2595: (38, 18), status: INFECTED, was infected 1 time(s).
Person 2596: (29, 0), status: INFECTED, was infected 1 time(s).
Person 2597: (16, 33), status: INFECTED, was infected 1 time(s).
Person 2598: (0, 26), status: INFECTED, was infected 1 time(s).
Person 2599: (12, 22), status: INFECTED, was infected 1 time(s).
Person 2600: (2, 39), status: INFECTED, was infected 0 time(s).
Person 2601: (23, 2), status: INFECTED, was infected 0 time(s).
Person 2602: (7, 13), status: INFECTED, was infected 1 time(s).
Person 2603: (8, 30), status: INFECTED, was infected 0 time(s).
Person 2604: (26, 30), status: INFECTED, was infected 1 time(s).
Person 2605: (35, 32), status: INFECTED, was infected 1 time(s).
Person 2606: (16, 27), status: INFECTED, was infected 1 time(s).
Person 2607: (34, 32), status: INFECTED, was infected 0 time(s).
Person 2608: (19, 42), status: SUSCEPTIBLE, was infected 0 time(s).
Person 2609: (25, 39), status: INFECTED, was infected 1 time(s).
Person 2610: (39, 48), status: INFECTED, was infected 1 time(s).
Person 2611: (34, 41), status: INFECTED, was infected 1 time(s).
Person 2612: (37, 47), status: INFECTED, was infected 0 time(s).
Person 2613: (17, 32), status: INFECTED, was infected 0 time(s).
Person 2614: (22, 6), status: INFECTED, was infected 1 time(s).
Person 2615: (38, 29), status: SUSCEPTIBLE, was infected 0 time(s).
Person 2616: (23, 44), status: INFECTED, was infected 0 time(s).
Person 2617: (34, 49), status: INFECTED, was infected 0 time(s).
Person 2618: (46, 22), status: INFECTED, was infected 1 time(s).
Person 2619: (15, 22), status: INFECTED, was infected 1 time(s).
Person 2620: (40, 31), status: SUSCEPTIBLE, was infected 0 time(s).
Person 2621: (39, 0), status: INFECTED, was infected 0 time(s).
Person 2622: (6, 37), status: INFECTED, was infected 1 time(s).
Person 2623: (25, 41), status: INFECTED, was infected 1 time(s).
Person 2624: (37, 43), status: INFECTED, was infected 1 time(s).
Person 2625: (3, 13), status: SUSCEPTIBLE, was infected 0 time(s).
